1. перенимать 2. захват 3. овладение 	takeover
1. воспитание 2. обучение 3. лелеять 4. питать 5. обучать 	nurture
человечество	mankind
тучность	obesity
1. обстановка 2. ландшафт 3. вид 	scenery
